"Registration Number","Title","Participant(s)","EIF information","Registration Date","Subject terms","Agreement type","UNTS Volume Number","EIF Date","Registration Year","Registration Month","Registration Day","EIF Year","EIF Month","EIF Day","Place1","Date1","Date1_Year","Date1_Month","Date1_Day","Place2","Date2","Date2_Year","Date2_Month","Date2_Day"
"451","Agreed minutes of the trade discussions of the Mixed Commission of Norway and the United States, United Kingdom and French Occupied Zones of Germany (Frankfurt am Main, 14-17 February 1949","Norway*, United States United Kingdom and French Military Governors in Germany","17 February 1949 by signature",1949-05-16,"Trade","Bilateral","30 (p.137)",1949-02-17,1949,5,16,1949,2,17,"FrankfortontheMain",1949-02-17,1949,2,17,NA,NA,NA,NA,NA
"462","Agreement between Military Governments for Germany (US/UK) and the Royal Norwegian Government covering payment for trade between Norway and the US/UK occupied areas of Germany","Norway*, United States/United Kingdom Military Governments for Germany","19 September 1947 by signature",1949-06-01,"Trade","Bilateral","30 (p.269)",1947-09-19,1949,6,1,1947,9,19,"Berlin",1947-09-19,1947,9,19,NA,NA,NA,NA,NA
"450","Agreement between the Governments of Norway and Sweden respecting reciprocal crediting of unemployment insurance contributions","Norway*, Sweden","1 January 1949 , in accordance with article 5",1949-05-16,"Insurance, Labour","Bilateral","30 (p.117)",1949-01-01,1949,5,16,1949,1,1,"Oslo",1948-12-18,1948,12,18,NA,NA,NA,NA,NA
"175","Agreement between the United Nations and the International Telecommunication Union approved by the Plenipotentiary Conference of the International Telecommunication Union on 4 September 1947 and by the General Assembly of the United Nations on 15 November 1947, and Protocol concerning the entry into force of the said Agreement","International Telecommunication Union, United Nations","provisionally on 15 November 1947 and definitively on 1 January 1949 , in accordance with article XIX",1949-05-01,"Telecommunications, Conferences-Meetings","Bilateral","30 (p.316)",1947-11-15,1949,5,1,1947,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Agreement concerning the exchange of goods between the Kingdom of Norway and the Polish Republic","Norway*, Poland","4 February 1948 by signature, in accordance with article 9",1949-06-01,"Trade","Bilateral","30 (p.205)",1948-02-04,1949,6,1,1948,2,4,"Oslo",1948-02-04,1948,2,4,NA,NA,NA,NA,NA
"460","Agreement concerning the exchange of Goods between the Kingdom of Norway and the Republic of Czechoslovakia","Czechoslovakia, Norway*","13 February 1947 , in accordance with article 9",1949-06-01,"Trade, Commodities","Bilateral","30 (p.223)",1947-02-13,1949,6,1,1947,2,13,"Prague",1947-03-20,1947,3,20,NA,NA,NA,NA,NA
"464","Agreement for the purpose of developing trade between Norway and the Soviet Zone of Occupation in Germany","Norway*, Soviet Military Administration for Germany","19 February 1947 by signature, in accordance with article 10",1949-06-01,"Trade","Bilateral","30 (p.293)",1947-02-19,1949,6,1,1947,2,19,"Berlin",1947-02-19,1947,2,19,NA,NA,NA,NA,NA
"449","American Treaty on Pacific Settlement (Pact of Bogota)","Argentina, Bolivia, Brazil, Chile, Chile, Colombia, Colombia, Costa Rica, Cuba, Dominican Republic, Dominican Republic, Ecuador, El Salvador, El Salvador, Guatemala, Haiti, Haiti, Honduras, Honduras, Mexico, Nicaragua, Nicaragua, Panama, Panama, Paraguay, Paraguay, Peru, Peru, United States of America, Uruguay, Uruguay, Venezuela","6 May 1949 , in accordance with article LIII",1949-05-13,"Bogota Pact, Peace, Dispute settlement","Multilateral","30 (p.55)",1949-05-06,1949,5,13,1949,5,6,"Bogotá",1948-04-30,1948,4,30,NA,NA,NA,NA,NA
"454","Commercial Agreement between the Governments of Norway and Greece","Greece, Norway*","12 March 1949 by signature, in accordance with article 9",1949-05-31,"Trade","Bilateral","30 (p.161)",1949-03-12,1949,5,31,1949,3,12,"Oslo",1949-03-12,1949,3,12,NA,NA,NA,NA,NA
"456","Commercial Agreement between the Governments of Norway and Italy","Italy, Norway*","20 July 1946 and with retroactive effect from 8 January 1946",1949-06-01,"Trade","Bilateral","30 (p.177)",1946-07-20,1949,6,1,1946,7,20,"Rome",1946-07-20,1946,7,20,NA,NA,NA,NA,NA
"463","Commercial Agreement respecting exchange of goods between Norway and the French Zone of Occupation in Germany","French Zone of Occupation of Germany, Norway*","5 July 1948 by signature, in accordance with article 5",1949-06-01,"Trade, Finance","Bilateral","30 (p.281)",1948-07-05,1949,6,1,1948,7,5,"Baden-Baden",1948-07-05,1948,7,5,NA,NA,NA,NA,NA
"457","Commercial Agreement between the Kingdom of Norway and the Federal People's Republic of Yugoslavia","Norway*, Yugoslavia (Socialist Federal Republic of)","30 August 1946 by signature, in accordance with article 7",1949-06-01,"Trade","Bilateral","30 (p.187)",1946-08-30,1949,6,1,1946,8,30,"Oslo",1946-08-30,1946,8,30,NA,NA,NA,NA,NA
"456","Commercial Agreement between the Governments of Norway and Italy","Italy, Norway*","20 July 1946 and with retroactive effect from 8 January 1946",1949-06-01,"Trade","Bilateral","30 (p.177)",1946-07-20,1949,6,1,1946,7,20,"Rome",1946-07-20,1946,7,20,NA,NA,NA,NA,NA
"454","Commercial Agreement between the Governments of Norway and Greece","Greece, Norway*","12 March 1949 by signature, in accordance with article 9",1949-05-31,"Trade","Bilateral","30 (p.161)",1949-03-12,1949,5,31,1949,3,12,"Oslo",1949-03-12,1949,3,12,NA,NA,NA,NA,NA
"449","American Treaty on Pacific Settlement (Pact of Bogota)","Argentina, Bolivia, Brazil, Chile, Chile, Colombia, Colombia, Costa Rica, Cuba, Dominican Republic, Dominican Republic, Ecuador, El Salvador, El Salvador, Guatemala, Haiti, Haiti, Honduras, Honduras, Mexico, Nicaragua, Nicaragua, Panama, Panama, Paraguay, Paraguay, Peru, Peru, United States of America, Uruguay, Uruguay, Venezuela","6 May 1949 , in accordance with article LIII",1949-05-13,"Bogota Pact, Peace, Dispute settlement","Multilateral","30 (p.55)",1949-05-06,1949,5,13,1949,5,6,"Bogotá",1948-04-30,1948,4,30,NA,NA,NA,NA,NA
"464","Agreement for the purpose of developing trade between Norway and the Soviet Zone of Occupation in Germany","Norway*, Soviet Military Administration for Germany","19 February 1947 by signature, in accordance with article 10",1949-06-01,"Trade","Bilateral","30 (p.293)",1947-02-19,1949,6,1,1947,2,19,"Berlin",1947-02-19,1947,2,19,NA,NA,NA,NA,NA
"460","Agreement concerning the exchange of Goods between the Kingdom of Norway and the Republic of Czechoslovakia","Czechoslovakia, Norway*","13 February 1947 , in accordance with article 9",1949-06-01,"Trade, Commodities","Bilateral","30 (p.223)",1947-02-13,1949,6,1,1947,2,13,"Prague",1947-03-20,1947,3,20,NA,NA,NA,NA,NA
"458","Agreement concerning the exchange of goods between the Kingdom of Norway and the Polish Republic","Norway*, Poland","4 February 1948 by signature, in accordance with article 9",1949-06-01,"Trade","Bilateral","30 (p.205)",1948-02-04,1949,6,1,1948,2,4,"Oslo",1948-02-04,1948,2,4,NA,NA,NA,NA,NA
"175","Agreement between the United Nations and the International Telecommunication Union approved by the Plenipotentiary Conference of the International Telecommunication Union on 4 September 1947 and by the General Assembly of the United Nations on 15 November 1947, and Protocol concerning the entry into force of the said Agreement","International Telecommunication Union, United Nations","provisionally on 15 November 1947 and definitively on 1 January 1949 , in accordance with article XIX",1949-05-01,"Telecommunications, Conferences-Meetings","Bilateral","30 (p.316)",1947-11-15,1949,5,1,1947,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Agreement between the Governments of Norway and Sweden respecting reciprocal crediting of unemployment insurance contributions","Norway*, Sweden","1 January 1949 , in accordance with article 5",1949-05-16,"Insurance, Labour","Bilateral","30 (p.117)",1949-01-01,1949,5,16,1949,1,1,"Oslo",1948-12-18,1948,12,18,NA,NA,NA,NA,NA
"462","Agreement between Military Governments for Germany (US/UK) and the Royal Norwegian Government covering payment for trade between Norway and the US/UK occupied areas of Germany","Norway*, United States/United Kingdom Military Governments for Germany","19 September 1947 by signature",1949-06-01,"Trade","Bilateral","30 (p.269)",1947-09-19,1949,6,1,1947,9,19,"Berlin",1947-09-19,1947,9,19,NA,NA,NA,NA,NA
"451","Agreed minutes of the trade discussions of the Mixed Commission of Norway and the United States, United Kingdom and French Occupied Zones of Germany (Frankfurt am Main, 14-17 February 1949","Norway*, United States United Kingdom and French Military Governors in Germany","17 February 1949 by signature",1949-05-16,"Trade","Bilateral","30 (p.137)",1949-02-17,1949,5,16,1949,2,17,"FrankfortontheMain",1949-02-17,1949,2,17,NA,NA,NA,NA,NA
